country_id,country_name,country_logo
89,Paraguay,https://apiv3.apifootball.com/badges/logo_country/89_paraguay.png
90,Peru,https://apiv3.apifootball.com/badges/logo_country/90_peru.png
165,Philippines,https://apiv3.apifootball.com/badges/logo_country/165_philippines.png
91,Poland,https://apiv3.apifootball.com/badges/logo_country/91_poland.png
92,Portugal,https://apiv3.apifootball.com/badges/logo_country/92_portugal.png
93,Qatar,https://apiv3.apifootball.com/badges/logo_country/93_qatar.png
94,Romania,https://apiv3.apifootball.com/badges/logo_country/94_romania.png
95,Russia,https://apiv3.apifootball.com/badges/logo_country/95_russia.png
146,Rwanda,https://apiv3.apifootball.com/badges/logo_country/146_rwanda.png
96,San Marino,https://apiv3.apifootball.com/badges/logo_country/96_san-marino.png
97,Saudi Arabia,https://apiv3.apifootball.com/badges/logo_country/97_saudi-arabia.png
98,Scotland,https://apiv3.apifootball.com/badges/logo_country/98_scotland.png
140,Senegal,https://apiv3.apifootball.com/badges/logo_country/140_senegal.png
99,Serbia,https://apiv3.apifootball.com/badges/logo_country/99_serbia.png
100,Singapore,https://apiv3.apifootball.com/badges/logo_country/100_singapore.png
101,Slovakia,https://apiv3.apifootball.com/badges/logo_country/101_slovakia.png
102,Slovenia,https://apiv3.apifootball.com/badges/logo_country/102_slovenia.png
158,Somalia,https://apiv3.apifootball.com/badges/logo_country/158_somalia.png
103,South Africa,https://apiv3.apifootball.com/badges/logo_country/103_south-africa.png
6,Spain,https://apiv3.apifootball.com/badges/logo_country/6_spain.png
104,Sudan,https://apiv3.apifootball.com/badges/logo_country/104_sudan.png
105,Surinam,https://apiv3.apifootball.com/badges/logo_country/105_surinam.png
7,Sweden,https://apiv3.apifootball.com/badges/logo_country/7_sweden.png
106,Switzerland,https://apiv3.apifootball.com/badges/logo_country/106_switzerland.png
107,Syria,https://apiv3.apifootball.com/badges/logo_country/107_syria.png
159,Tajikistan,https://apiv3.apifootball.com/badges/logo_country/159_tajikistan.png
147,Tanzania,https://apiv3.apifootball.com/badges/logo_country/147_tanzania.png
108,Thailand,https://apiv3.apifootball.com/badges/logo_country/108_thailand.png
109,Trinidad and Tobago,https://apiv3.apifootball.com/badges/logo_country/109_trinidad-and-tobago.png
110,Tunisia,https://apiv3.apifootball.com/badges/logo_country/110_tunisia.png
111,Turkey,https://apiv3.apifootball.com/badges/logo_country/111_turkey.png
130,Turkmenistan,https://apiv3.apifootball.com/badges/logo_country/130_turkmenistan.png
151,Uganda,https://apiv3.apifootball.com/badges/logo_country/151_uganda.png
112,Ukraine,https://apiv3.apifootball.com/badges/logo_country/112_ukraine.png
113,United Arab Emirates,https://apiv3.apifootball.com/badges/logo_country/113_united-arab-emirates.png
